link,company,position,skills,location,career,due_date
https://www.jumpit.co.kr/position/7326,워트인텔리전스,[워트 개발팀]데이터엔지니어모집 (국내 최대데이터),Java· Spring· SQL· MongoDB· BigData· Python· Hadoop· REST API· Lucene· AWS,서울 서초구,경력 2~10년,상시
https://www.jumpit.co.kr/position/20687,페이히어,데이터엔지니어,Python· SQL· Redash· Pandas· AWS· GCP· Spark· Airflow· Google BigQuery,서울 강남구,경력 3~9년,상시
https://www.jumpit.co.kr/position/18717,무브멘토,AI 빅데이터엔지니어/ 딥러닝엔지니어(빅데이터실무자 모집),TensorFlow· PyTorch· Docker· Python· DeepLearning· AI/인공지능· BigData· C· C++· NLP,서울 성동구,신입,상시
https://www.jumpit.co.kr/position/22009,웅진,데이터엔지니어(3년 이상),PowerBI· Microsoft PowerApps· Microsoft Power Automate· Python· QlikView· Java,서울 중구,경력 3~16년,2024-03-29
https://www.jumpit.co.kr/position/20944,비포플레이,데이터엔지니어,Etl· Python· Java· NoSql,서울 강남구,경력 3~10년,상시
https://www.jumpit.co.kr/position/14573,롯데헬스케어,데이터엔지니어,Etl· BigData· MachineLearning· AWS Data Pipeline,서울 송파구,경력 2~10년,상시
https://www.jumpit.co.kr/position/22131,마크클라우드,데이터엔지니어(Vision),PyTorch· TensorFlow· RDB· NoSql· Git· Docker· AI/인공지능· DeepLearning,서울 강남구,신입~10년,2024-01-31
https://www.jumpit.co.kr/position/21104,딥노이드,데이터엔지니어,Python· Spark· Elasticsearch· Airflow· Git· Java,서울 구로구,경력 2~10년,2024-02-29
https://www.jumpit.co.kr/position/15111,스윗코리아,데이터엔지니어(7년이상),aws· gcp· azure· mysql· elasticsearch· google cloud bigtable· linux,서울 강남구,경력 7~15년,상시
https://www.jumpit.co.kr/position/17447,휴맥스모빌리티,데이터엔지니어(Data server Engineer)_Data Hub팀,SQL· Python· Hadoop,경기 성남시,경력 3~9년,상시
https://www.jumpit.co.kr/position/21551,메이븐클라우드서비스,데이터엔지니어/PM(경력) 채용,Etl· SQL· R· Python· PySpark,서울 강남구,경력 10~30년,상시
https://www.jumpit.co.kr/position/21281,와이더플래닛,데이터엔지니어모집,Hadoop· Spark· Elasticsearch· Jenkins· Kubernetes· Slack· Java· Linux· AWS· GCP,서울 강남구,신입~5년,상시
https://www.jumpit.co.kr/position/16804,브레인커머스,[잡플래닛]데이터엔지니어,MSA· AWS· Google BigQuery· Amazon Athena· Databricks· Snowflake· Spark· Kafka· Hive· Hadoop,서울 강남구,경력 3~15년,상시
https://www.jumpit.co.kr/position/20301,플래티어,[그루비 SaaS 솔루션]데이터분석가,SQL· Python,서울 송파구,경력 2~6년,상시
https://www.jumpit.co.kr/position/16478,플래티어,[그루비 SaaS 솔루션]데이터사이언티스트,MachineLearning· DeepLearning· Python· SQL· AWS· GCP· TensorFlow· Spark· PyTorch,서울 송파구,경력 1~10년,상시
https://www.jumpit.co.kr/position/19307,메이크스타,Data Engineer 경력직 모집,EDA· Kafka· Python· Golang· BI,서울 강남구,경력 3~15년,상시
https://www.jumpit.co.kr/position/21288,키스네일프러덕츠인크,외국계뷰티회사ㅣBig Data Engineer Manager 모집(재택가능),AWS· GCP· AZURE· Hadoop· Spark· Python· Scala· C· C++· R,서울 강남구,경력 6~12년,상시
https://www.jumpit.co.kr/position/18679,디플래닉스,Data Engineer,AWS· GCP· AZURE· Python· SQL· Scala· Java,서울 서초구,경력 3~8년,상시
https://www.jumpit.co.kr/position/20946,비포플레이,비지니스데이터분석가,EDA· SQL· Python,서울 강남구,경력 3~10년,상시
https://www.jumpit.co.kr/position/21068,로보코리아,[로보코리아] ML Engineer (Data Engineer),PyTorch· Python· TensorFlow· MachineLearning,서울 강남구,경력 1~5년,상시
https://www.jumpit.co.kr/position/21839,빗썸코리아,[빗썸]데이터분석 엔지니어 (3년 이상),Python· Spark· R· AWS· BigData,서울 강남구,경력 3~7년,상시
https://www.jumpit.co.kr/position/22165,알세미,[병역특례] 응용 SW 개발자 (전문연구요원 - 보충역/전직자),C· C++· Python· Java· JavaScript· React,서울 강남구,신입~2년,상시
https://www.jumpit.co.kr/position/22164,알세미,응용 SW 개발자 (주니어),C· C++· Python· Java· JavaScript· React,서울 강남구,신입~5년,상시
https://www.jumpit.co.kr/position/21921,피딩코리아,[PDing] 서버/백엔드 개발자,Java· Spring Boot· SQL· Hibernate· AWS,서울 서초구,신입~10년,상시
https://www.jumpit.co.kr/position/21641,미니레코드,AI 자연어처리(NLP) 풀스택 분야 전문가 채용,AZURE· NLP· Python· JavaScript,서울 송파구,경력 2~10년,상시
https://www.jumpit.co.kr/position/21511,페이히어,서버 엔지니어 (Go),Python· FastAPI· REST API· Go· Golang· NoSql· AWS,서울 강남구,경력 2~5년,상시
https://www.jumpit.co.kr/position/14045,페이히어,서버 엔지니어 (Python),Python· Django· Flask· FastAPI· REST API,서울 강남구,경력 3~15년,상시
https://www.jumpit.co.kr/position/21067,로보코리아,[로보코리아] ML Engineer (QA Engineer),PyTorch· Python· TensorFlow· MachineLearning· AI/인공지능· QA,서울 강남구,경력 1~5년,상시
https://www.jumpit.co.kr/position/20222,빗썸코리아,[빗썸] 블록체인 서비스 개발,Blockchain· Java· Spring· MySQL· Kafka· Redis· AWS,서울 강남구,경력 1~10년,상시
https://www.jumpit.co.kr/position/19627,버즈빌(허니스크린),데브옵스 엔지니어(경력 3년 이상),Kubernetes· Istio,서울 송파구,경력 3~15년,상시
https://www.jumpit.co.kr/position/17054,워트인텔리전스,[IP빅데이터분석팀] 특허 빅데이터분석가,DB· BigData· Tableau,서울 서초구,경력 3~10년,상시
https://www.jumpit.co.kr/position/16609,와디즈,DBA,RDB· DB· MySQL· NoSql· MongoDB· GrapheneDB,경기 성남시,경력 5~10년,상시
https://www.jumpit.co.kr/position/19444,라온메디,AI Engineer,Python· TensorFlow· PyTorch· Git· Docker,"서울 서대문구, 경기 성남시",경력 1~10년,상시
https://www.jumpit.co.kr/position/21156,스포카,데이터분석가(시니어),SQL· PostgreSQL· Python· Redash· Google BigQuery,서울 강남구,경력 5~10년,상시
https://www.jumpit.co.kr/position/21155,스포카,데이터분석가(주니어),SQL· PostgreSQL· Python· Redash· Google BigQuery,서울 강남구,경력 1~3년,상시
https://www.jumpit.co.kr/position/14413,인터엑스,"[울산]데이터분석(이미지 및 영상데이터분석가, Data Scientist)",PyTorch· OpenCV· NumPy· Python· TensorFlow· MachineLearning· DeepLearning,울산 중구,경력 2~5년,상시
https://www.jumpit.co.kr/position/15872,인터엑스,"[서울]데이터분석(이미지 및 영상데이터분석가, Data Scientist)",PyTorch· OpenCV· NumPy· Python· TensorFlow· MachineLearning· DeepLearning,서울 금천구,경력 2~5년,상시
https://www.jumpit.co.kr/position/22083,코인원,데이터분석가,SQL· Python· R,서울 영등포구,신입~10년,2024-01-26
